# qSol1, qSol2, qSol3, t
-9.71779e-02, -1.92958e-02, 2.89403e-01, 4.34000e+00
-5.84107e-02, -4.89051e-02, 2.67536e-01, 4.36000e+00
-1.82794e-02, -7.24043e-02, 2.39362e-01, 4.38000e+00
2.11494e-02, -8.86216e-02, 2.04975e-01, 4.40000e+00
5.79820e-02, -9.68126e-02, 1.64739e-01, 4.42000e+00
9.05871e-02, -9.67201e-02, 1.19294e-01, 4.44000e+00
1.17666e-01, -8.86044e-02, 6.95498e-02, 4.46000e+00
1.38300e-01, -7.32405e-02, 1.66599e-02, 4.48000e+00
1.51971e-01, -5.18824e-02, -3.80150e-02, 4.50000e+00
1.58556e-01, -2.61968e-02, -9.29595e-02, 4.52000e+00
1.58301e-01, 1.83167e-03, -1.46567e-01, 4.54000e+00
1.51772e-01, 3.00154e-02, -1.97211e-01, 4.56000e+00
1.39788e-01, 5.60953e-02, -2.43322e-01, 4.58000e+00
1.23342e-01, 7.78776e-02, -2.83462e-01, 4.60000e+00
1.03520e-01, 9.33697e-02, -3.16397e-01, 4.62000e+00
8.14188e-02, 1.00906e-01, -3.41164e-01, 4.64000e+00
5.80681e-02, 9.92545e-02, -3.57120e-01, 4.66000e+00
3.43643e-02, 8.76994e-02, -3.63980e-01, 4.68000e+00
1.10219e-02, 6.60934e-02, -3.61838e-01, 4.70000e+00
-1.14585e-02, 3.48751e-02, -3.51168e-01, 4.72000e+00
-3.28013e-02, -4.94716e-03, -3.32804e-01, 4.74000e+00
-5.29468e-02, -5.18471e-02, -3.07906e-01, 4.76000e+00
-7.20235e-02, -1.03863e-01, -2.77904e-01, 4.78000e+00
-9.03040e-02, -1.58706e-01, -2.44431e-01, 4.80000e+00
-1.08148e-01, -2.13891e-01, -2.09247e-01, 4.82000e+00
-1.25941e-01, -2.66875e-01, -1.74153e-01, 4.84000e+00
-1.44025e-01, -3.15206e-01, -1.40902e-01, 4.86000e+00
-1.62639e-01, -3.56656e-01, -1.11120e-01, 4.88000e+00
-1.81863e-01, -3.89354e-01, -8.62253e-02, 4.90000e+00
-2.01582e-01, -4.11885e-01, -6.73665e-02, 4.92000e+00
-2.21456e-01, -4.23367e-01, -5.53682e-02, 4.94000e+00
-2.40921e-01, -4.23501e-01, -5.06986e-02, 4.96000e+00
-2.59205e-01, -4.12575e-01, -5.34542e-02, 4.98000e+00
-2.75362e-01, -3.91441e-01, -6.33632e-02, 5.00000e+00
-2.88330e-01, -3.61460e-01, -7.98080e-02, 5.02000e+00
-2.96996e-01, -3.24409e-01, -1.01865e-01, 5.04000e+00
-3.00280e-01, -2.82373e-01, -1.28357e-01, 5.06000e+00
-2.97217e-01, -2.37619e-01, -1.57919e-01, 5.08000e+00
-2.87040e-01, -1.92455e-01, -1.89072e-01, 5.10000e+00
-2.69260e-01, -1.49097e-01, -2.20296e-01, 5.12000e+00
-2.43723e-01, -1.09537e-01, -2.50105e-01, 5.14000e+00
-2.10663e-01, -7.54375e-02, -2.77116e-01, 5.16000e+00
-1.70719e-01, -4.80352e-02, -3.00111e-01, 5.18000e+00
-1.24939e-01, -2.80849e-02, -3.18086e-01, 5.20000e+00
-7.47505e-02, -1.58290e-02, -3.30283e-01, 5.22000e+00
-2.19100e-02, -1.10009e-02, -3.36214e-01, 5.24000e+00
3.15735e-02, -1.28609e-02, -3.35662e-01, 5.26000e+00
8.35326e-02, -2.02616e-02, -3.28675e-01, 5.28000e+00
1.31751e-01, -3.17370e-02, -3.15537e-01, 5.30000e+00
1.74080e-01, -4.56109e-02, -2.96736e-01, 5.32000e+00
2.08559e-01, -6.01163e-02, -2.72922e-01, 5.34000e+00
2.33527e-01, -7.35167e-02, -2.44857e-01, 5.36000e+00
2.47724e-01, -8.42243e-02, -2.13366e-01, 5.38000e+00
2.50373e-01, -9.09043e-02, -1.79290e-01, 5.40000e+00
2.41236e-01, -9.25600e-02, -1.43441e-01, 5.42000e+00
2.20647e-01, -8.85936e-02, -1.06567e-01, 5.44000e+00
1.89505e-01, -7.88384e-02, -6.93239e-02, 5.46000e+00
1.49245e-01, -6.35599e-02, -3.22618e-02, 5.48000e+00
1.01777e-01, -4.34288e-02, 4.18357e-03, 5.50000e+00
4.93921e-02, -1.94639e-02, 3.96846e-02, 5.52000e+00
-5.34571e-03, 7.04672e-03, 7.40090e-02, 5.54000e+00
-5.97282e-02, 3.46434e-02, 1.06998e-01, 5.56000e+00
-1.11040e-01, 6.18040e-02, 1.38542e-01, 5.58000e+00
-1.56695e-01, 8.70557e-02, 1.68550e-01, 5.60000e+00
-1.94374e-01, 1.09084e-01, 1.96926e-01, 5.62000e+00
-2.22137e-01, 1.26827e-01, 2.23541e-01, 5.64000e+00
-2.38524e-01, 1.39558e-01, 2.48216e-01, 5.66000e+00
-2.42629e-01, 1.46936e-01, 2.70713e-01, 5.68000e+00
-2.34141e-01, 1.49032e-01, 2.90729e-01, 5.70000e+00
-2.13356e-01, 1.46331e-01, 3.07908e-01, 5.72000e+00
-1.81154e-01, 1.39694e-01, 3.21855e-01, 5.74000e+00
-1.38951e-01, 1.30304e-01, 3.32160e-01, 5.76000e+00
-8.86128e-02, 1.19576e-01, 3.38432e-01, 5.78000e+00
-3.23580e-02, 1.09064e-01, 3.40335e-01, 5.80000e+00
2.73637e-02, 1.00341e-01, 3.37623e-01, 5.82000e+00
8.80002e-02, 9.48873e-02, 3.30178e-01, 5.84000e+00
1.47027e-01, 9.39755e-02, 3.18044e-01, 5.86000e+00
2.02075e-01, 9.85735e-02, 3.01444e-01, 5.88000e+00
2.51043e-01, 1.09262e-01, 2.80804e-01, 5.90000e+00
2.92190e-01, 1.26177e-01, 2.56750e-01, 5.92000e+00
3.24213e-01, 1.48984e-01, 2.30098e-01, 5.94000e+00
3.46290e-01, 1.76882e-01, 2.01835e-01, 5.96000e+00
3.58093e-01, 2.08636e-01, 1.73081e-01, 5.98000e+00
3.59783e-01, 2.42645e-01, 1.45040e-01, 6.00000e+00
3.51966e-01, 2.77031e-01, 1.18948e-01, 6.02000e+00
3.35638e-01, 3.09751e-01, 9.60103e-02, 6.04000e+00
3.12097e-01, 3.38720e-01, 7.73339e-02, 6.06000e+00
2.82855e-01, 3.61949e-01, 6.38670e-02, 6.08000e+00
2.49540e-01, 3.77661e-01, 5.63392e-02, 6.10000e+00
2.13789e-01, 3.84422e-01, 5.52122e-02, 6.12000e+00
1.77162e-01, 3.81228e-01, 6.06418e-02, 6.14000e+00
1.41053e-01, 3.67588e-01, 7.24550e-02, 6.16000e+00
1.06631e-01, 3.43562e-01, 9.01437e-02, 6.18000e+00
7.47897e-02, 3.09774e-01, 1.12876e-01, 6.20000e+00
4.61276e-02, 2.67389e-01, 1.39525e-01, 6.22000e+00
2.09448e-02, 2.18055e-01, 1.68716e-01, 6.24000e+00
-7.34531e-04, 1.63816e-01, 1.98884e-01, 6.26000e+00
-1.91235e-02, 1.07000e-01, 2.28347e-01, 6.28000e+00
-3.46173e-02, 5.00901e-02, 2.55387e-01, 6.30000e+00
-4.77286e-02, -4.41930e-03, 2.78332e-01, 6.32000e+00
-5.90172e-02, -5.41621e-02, 2.95640e-01, 6.34000e+00
-6.90212e-02, -9.70385e-02, 3.05974e-01, 6.36000e+00
-7.81935e-02, -1.31335e-01, 3.08276e-01, 6.38000e+00
-8.68501e-02, -1.55823e-01, 3.01817e-01, 6.40000e+00
-9.51328e-02, -1.69828e-01, 2.86238e-01, 6.42000e+00
-1.02990e-01, -1.73268e-01, 2.61570e-01, 6.44000e+00
-1.10179e-01, -1.66653e-01, 2.28237e-01, 6.46000e+00
-1.16283e-01, -1.51052e-01, 1.87034e-01, 6.48000e+00
-1.20749e-01, -1.28027e-01, 1.39093e-01, 6.50000e+00
-1.22944e-01, -9.95371e-02, 8.58279e-02, 6.52000e+00
-1.22216e-01, -6.78204e-02, 2.88669e-02, 6.54000e+00
-1.17967e-01, -3.52580e-02, -3.00232e-02, 6.56000e+00
-1.09720e-01, -4.23348e-03, -8.90204e-02, 6.58000e+00
-9.71892e-02, 2.30082e-02, -1.46331e-01, 6.60000e+00
-8.03350e-02, 4.44913e-02, -2.00270e-01, 6.62000e+00
-5.94036e-02, 5.86222e-02, -2.49335e-01, 6.64000e+00
-3.49495e-02, 6.42779e-02, -2.92264e-01, 6.66000e+00
-7.83602e-03, 6.08649e-02, -3.28090e-01, 6.68000e+00
2.07879e-02, 4.83447e-02, -3.56165e-01, 6.70000e+00
4.95325e-02, 2.72256e-02, -3.76177e-01, 6.72000e+00
7.68323e-02, -1.47903e-03, -3.88148e-01, 6.74000e+00
1.01029e-01, -3.63226e-02, -3.92408e-01, 6.76000e+00
1.20467e-01, -7.55223e-02, -3.89566e-01, 6.78000e+00
1.33594e-01, -1.17075e-01, -3.80457e-01, 6.80000e+00
1.39059e-01, -1.58886e-01, -3.66090e-01, 6.82000e+00
1.35817e-01, -1.98895e-01, -3.47583e-01, 6.84000e+00
1.23202e-01, -2.35207e-01, -3.26100e-01, 6.86000e+00
1.00996e-01, -2.66199e-01, -3.02794e-01, 6.88000e+00
6.94678e-02, -2.90616e-01, -2.78746e-01, 6.90000e+00
2.93896e-02, -3.07633e-01, -2.54923e-01, 6.92000e+00
-1.79794e-02, -3.16895e-01, -2.32140e-01, 6.94000e+00
-7.09358e-02, -3.18522e-01, -2.11036e-01, 6.96000e+00
-1.27402e-01, -3.13080e-01, -1.92066e-01, 6.98000e+00
-1.85019e-01, -3.01531e-01, -1.75502e-01, 7.00000e+00
-2.41262e-01, -2.85149e-01, -1.61447e-01, 7.02000e+00
-2.93566e-01, -2.65423e-01, -1.49856e-01, 7.04000e+00
-3.39454e-01, -2.43949e-01, -1.40569e-01, 7.06000e+00
-3.76672e-01, -2.22306e-01, -1.33347e-01, 7.08000e+00
-4.03306e-01, -2.01952e-01, -1.27903e-01, 7.10000e+00
-4.17891e-01, -1.84119e-01, -1.23941e-01, 7.12000e+00
-4.19493e-01, -1.69726e-01, -1.21187e-01, 7.14000e+00
-4.07760e-01, -1.59324e-01, -1.19409e-01, 7.16000e+00
-3.82954e-01, -1.53057e-01, -1.18434e-01, 7.18000e+00
-3.45939e-01, -1.50664e-01, -1.18158e-01, 7.20000e+00
-2.98140e-01, -1.51499e-01, -1.18536e-01, 7.22000e+00
-2.41480e-01, -1.54586e-01, -1.19575e-01, 7.24000e+00
-1.78275e-01, -1.58697e-01, -1.21316e-01, 7.26000e+00
-1.11126e-01, -1.62448e-01, -1.23802e-01, 7.28000e+00
-4.27817e-02, -1.64405e-01, -1.27057e-01, 7.30000e+00
2.39962e-02, -1.63197e-01, -1.31052e-01, 7.32000e+00
8.65716e-02, -1.57625e-01, -1.35682e-01, 7.34000e+00
1.42563e-01, -1.46760e-01, -1.40742e-01, 7.36000e+00
1.89954e-01, -1.30022e-01, -1.45911e-01, 7.38000e+00
2.27192e-01, -1.07239e-01, -1.50753e-01, 7.40000e+00
2.53243e-01, -7.86741e-02, -1.54717e-01, 7.42000e+00
2.67640e-01, -4.50258e-02, -1.57154e-01, 7.44000e+00
